00:00:00-00:00:02 那我今天就從開發的角度啊
00:00:02-00:00:07 給大家體驗一下到底AI給我們帶來甚麼樣的一個開發的改變
00:00:07-00:00:10 為甚麼這麼多程序人從高薪變成了事業啊
00:00:10-00:00:12 對那我們來體驗一下
00:00:12-00:00:13 好
00:00:13-00:00:14 那我呃
00:00:14-00:00:16 其實我在10年前就開始創業了
00:00:16-00:00:18 然後啊
00:00:18-00:00:19 這邊好幾個老闆啊
00:00:19-00:00:20 甚麼林成光啊
00:00:20-00:00:23 那些都是我第一次創業的時候認識的
00:00:23-00:00:26 那時候我們做的就是一個叫台灣游學啊
00:00:26-00:00:28 就那時候
00:00:28-00:00:30 福建的開放了自由行啊
00:00:30-00:00:32 就以前大陸人是不能去台灣的
00:00:32-00:00:32 啊
00:00:32-00:00:36 突然在2012年左右開放了自由行
00:00:36-00:00:37 那那時候呢
00:00:37-00:00:38 我就覺得
00:00:38-00:00:38 誒
00:00:38-00:00:39 我很想創業
00:00:39-00:00:40 對吧
00:00:40-00:00:41 因為我就是
00:00:41-00:00:43 很喜歡想這種佔面性的問題
00:00:43-00:00:44 哪些生意能做
00:00:44-00:00:46 哪些可以把它做成
00:00:46-00:00:46 對吧
00:00:46-00:00:47 那我就覺得
00:00:47-00:00:50 台灣如果開放我們可以去那邊做甚麼生意呢
00:00:50-00:00:53 然後我就覺得台灣能厲害的是甚麼
00:00:53-00:00:55 你們知道是甚麼嗎
00:00:55-00:00:56 是那些創業廣告
00:00:56-00:00:57 甚麼看到人哭啊
00:00:57-00:00:58 看到人笑啊
00:00:58-00:00:58 我覺得
00:00:58-00:01:01 誒那時候那邊的廣告公司非常厲害
00:01:01-00:01:02 4A廣告公司
00:01:02-00:01:04 然後我們就組了一個公司
00:01:04-00:01:07 專門帶全中國的傳媒大學的人過去
00:01:07-00:01:09 4A廣告公司學習
00:01:09-00:01:10 拿證書
00:01:10-00:01:13 然後方便他們未來能夠更快的就業啊
00:01:13-00:01:16 然後簡歷上能夠增加一筆好看的
00:01:16-00:01:19 那個那個面試的提升他們的競爭力
00:01:19-00:01:20 然後呢
00:01:20-00:01:21 第一次創業了
00:01:21-00:01:22 做了這個事情
00:01:22-00:01:24 做這個事情要做甚麼呢
00:01:24-00:01:24 對吧
00:01:24-00:01:25 對吧
00:01:25-00:01:26 必須你跟別人談合作
00:01:26-00:01:27 你得有個網站
00:01:27-00:01:28 對吧
00:01:28-00:01:28 然後呢
00:01:28-00:01:29 做完網站
00:01:29-00:01:30 跟別人談完合作
00:01:30-00:01:32 很多客戶來報名
00:01:32-00:01:34 那你得有個CIA系統吧
00:01:34-00:01:35 對吧
00:01:35-00:01:37 那時候我是不會寫程序的
