00:00:00-00:00:02 就這麼簡單跟你說
00:00:02-00:00:04 但它的甚麼全是文件
00:00:04-00:00:06 全是一些文字 沒了
00:00:06-00:00:08 它就是讓AI更懂你的一個東西
00:00:08-00:00:10 那你下次再重復用它的時候
00:00:10-00:00:12 不用再教它一遍了
00:00:12-00:00:14 直接出來搞定
00:00:14-00:00:16 好 甚麼問題啊
00:00:16-00:00:18 我問一下
00:00:18-00:00:20 就是你這個界面是甚麼界面
00:00:20-00:00:22 我現在搞不懂這個界面是Codex的還是GetHub的
00:00:22-00:00:24 GitHub啊
00:00:24-00:00:26 這是我上傳上去我的課程員工
00:00:26-00:00:28 我們其實連GetHub都沒用過
00:00:28-00:00:30 我都不知道在哪打開
00:00:30-00:00:32 你說你不可能在一小時學會
00:00:32-00:00:34 你不用那麼焦慮
00:00:34-00:00:36 你問AI一套是甚麼不就完了嗎
00:00:36-00:00:38 我知道就是
00:00:38-00:00:40 我得把這個年紀 我都度你的相回去問
00:00:40-00:00:42 慢慢搞 慢慢搞
00:00:42-00:00:44 不用著急不用焦慮
00:00:44-00:00:46 我只是給你們一個啓發
00:00:46-00:00:47 懂嗎
00:00:47-00:00:49 就是照給AI員工長甚麼樣的
00:00:49-00:00:51 你要甚麼步驟把它構建出來
00:00:51-00:00:53 你知道那個夠了
00:00:53-00:00:55 細節你不用知道太多
00:00:55-00:00:57 你做的時候遇到問題問AI就好了
00:00:57-00:00:59 OK嗎
00:00:59-00:01:01 聽的也不用太焦慮
00:01:01-00:01:02 聽不懂正常
00:01:02-00:01:03 因為你都沒用過
00:01:03-00:01:04 我這個東西
00:01:04-00:01:05 對吧
00:01:05-00:01:07 也不是一兩天做出來的
00:01:07-00:01:08 OK
00:01:08-00:01:09 然後你看到了它的效果
00:01:09-00:01:10 就是我一句話
00:01:10-00:01:12 一個視頻它出來了
00:01:12-00:01:13 一個我想要的東西結束
00:01:13-00:01:15 那中間一堆的Harness
00:01:15-00:01:16 都是AI寫的
00:01:16-00:01:18 而且每一步都是我出錯了
00:01:18-00:01:20 告訴AI哪裡出錯
00:01:20-00:01:21 給它證據
00:01:21-00:01:22 幫我寫成Harness
00:01:22-00:01:24 控制好它
00:01:24-00:01:25 下一次不要再犯錯了
00:01:25-00:01:26 OK了
00:01:26-00:01:27 好
00:01:32-00:01:35 好接下來我又做了一個升級啊
00:01:35-00:01:36 我後面覺得啊
00:01:36-00:01:37 這個做視頻啊對吧
00:01:37-00:01:39 反正它的任務呢
00:01:39-00:01:41 它並不是有衝突的
00:01:41-00:01:44 我做第一張跟第二個PPT
00:01:44-00:01:45 它是可以並行的
00:01:45-00:01:46 對吧
00:01:46-00:01:48 所以我我後來就做了一個升級
00:01:48-00:01:50 直接並行生產
00:01:50-00:01:51 因為我嫌得太慢了
00:01:51-00:01:53 每次發開一個視頻
00:01:53-00:01:54 對吧
00:01:54-00:01:56 它生產很久才生產出來
00:01:56-00:01:57 那甚麼叫並行呢
00:01:57-00:01:59 就我把一個視頻發給它
00:01:59-00:02:01 你幫我拆成五張一起生產
00:02:01-00:02:02 它就同步一起生產
00:02:02-00:02:03 最後合在一起
00:02:03-00:02:05 效率會快了五倍
00:02:05-00:02:07 只是會燒你的電腦的一些
00:02:07-00:02:10 CPU跟內存等等的事情
00:02:10-00:02:12 所以HUNNUS呢
00:02:12-00:02:13 就是慢慢進化了
00:02:13-00:02:14 你發現問題
00:02:14-00:02:15 哇太慢了
00:02:15-00:02:16 哇這裡不對
00:02:16-00:02:17 這裡不對
00:02:17-00:02:18 升級
00:02:18-00:02:19 然後鎖定HUNNUSB2
00:02:19-00:02:20 升級了已經
00:02:20-00:02:21 對吧
00:02:21-00:02:23 然後下一步你又覺得哪裡還可以升級
00:02:23-00:02:24 直接密伸
00:02:24-00:02:25 不斷的去迭代
00:02:25-00:02:27 這就是你的員工你的系統
00:02:37-00:02:39 好
00:02:39-00:02:41 所以我說了這節課最關鍵的
00:02:41-00:02:43 其實就是HUNNUSB2的一個環節
00:02:43-00:02:45 因為很多人可能自己用的話
00:02:45-00:02:47 完全沒有想過可以這麼做
00:02:47-00:02:49 他就是應來跟他瘋狂的對話
00:02:49-00:02:50 瘋狂的操作
00:02:50-00:02:51 但是呢
00:02:51-00:02:52 我說暫停
00:02:52-00:02:54 他先想清楚了
00:02:54-00:02:55 然後給他錯誤的東西
00:02:55-00:02:58 因為你硬做你的執行能力
00:02:58-00:03:00 跟你的那個比不過AI的
00:03:00-00:03:02 所以不要跟他硬做
00:03:02-00:03:03 OK
00:03:06-00:03:08 好接下來我給他介紹一個
00:03:08-00:03:09 比較前前的工具
00:03:09-00:03:11 我說我在學習AR的過程
00:03:11-00:03:13 其實最高效的就是
00:03:14-00:03:16 去到最前前的工具裡面
00:03:16-00:03:17 看他到底做了啥
00:03:17-00:03:19 為甚麼可以這麼強大
00:03:19-00:03:20 這麼多star
00:03:20-00:03:21 這麼多星星
00:03:21-00:03:23 直接看他的圓滿
00:03:23-00:03:24 那到底這個效果做了甚麼
00:03:24-00:03:26 他跟傳統的軟件有甚麼區別
00:03:26-00:03:28 哇這個真的很厲害
00:03:28-00:03:29 傳統的軟件呢
00:03:29-00:03:31 屬於我寫死一個功能
00:03:31-00:03:32 對吧
00:03:32-00:03:33 一堆代碼
00:03:33-00:03:34 你有這個功能
00:03:34-00:03:35 一個按鍵
00:03:35-00:03:36 按鍵就有個功能在了
00:03:36-00:03:37 對吧
00:03:37-00:03:38 但新型的軟件呢
00:03:38-00:03:40 是我把AI智能體
00:03:40-00:03:42 嵌到這個軟件裡面了
00:03:42-00:03:44 他包括有LUNCHIN
00:03:44-00:03:45 和LANDGRAPH
00:03:45-00:03:47 就是我可以有智能體
00:03:47-00:03:49 他自動的在這個軟件裡面
00:03:49-00:03:51 就能調用大模型
00:03:51-00:03:54 並且我可以有很多個智能體
00:03:54-00:03:55 在這個軟件裡面
00:03:55-00:03:57 才是新型的開發
00:03:57-00:03:58 所以我們來看一下
00:03:58-00:03:59 一個投資的一個agent
00:03:59-00:04:01 確定agent
00:04:01-00:04:02 在技術上面
00:04:02-00:04:04 大數量非常多的
00:04:04-00:04:06 那到底怎麼做的呢
00:04:06-00:04:11 好
00:04:11-00:04:15 再來給大家一個很好的一個提示
00:04:15-00:04:17 就是你在做一個系統
00:04:17-00:04:18 還做一個項目之前
00:04:18-00:04:20 第一步你就要乾嘛
00:04:20-00:04:21 除了創建Hug
00:04:21-00:04:22 如果你都沒想法
00:04:22-00:04:24 你要怎麼做第一步
00:04:24-00:04:29 甚麼
00:04:29-00:04:31 想起的要求還不是
00:04:31-00:04:32 還真不是
00:04:32-00:04:33 是甚麼
00:04:33-00:04:34 其實呢
00:04:34-00:04:43 這個也是另外一個skill
00:04:43-00:04:44 在agent
00:04:44-00:04:45 在那個codex裡面
00:04:45-00:04:46 排名前幾了
00:04:46-00:04:48 他是做甚麼呢
00:04:48-00:04:50 幫你搜索市面上最好的文章
00:04:50-00:04:51 最好的工具
00:04:51-00:04:52 最好的skill
00:04:52-00:04:53 最好的開源工具
00:04:53-00:04:55 沒能做過甚麼樣子的
00:04:55-00:04:56 他直接能搜出來
00:04:56-00:04:57 copy到你的本地
00:04:57-00:04:58 讓你學習
00:04:58-00:04:59 對吧
00:04:59-00:05:00 比如說
00:05:00-00:05:01 啊我需求
00:05:01-00:05:02 沒錯我想到了
00:05:02-00:05:03 我想炒美股賺錢啊
00:05:03-00:05:04 對吧
00:05:04-00:05:05 難道我跟AI說
00:05:05-00:05:06 我想賺錢這樣子
00:05:06-00:05:07 不可能
00:05:07-00:05:08 所以我第一步
00:05:08-00:05:09 我要去
00:05:09-00:05:10 聽號上面搜
00:05:10-00:05:12 有沒有是符合我用的工具
00:05:12-00:05:13 這第一個
00:05:13-00:05:15 或者有沒有一些符合我的文章
00:05:15-00:05:16 直接上去
00:05:16-00:05:17 它自動的
00:05:17-00:05:18 它有一個硬核條件
00:05:18-00:05:19 是甚麼
00:05:19-00:05:21 你要讓AI幫你裝這個python
00:05:21-00:05:23 3.10以上的
00:05:23-00:05:25 那你以前很難啊
00:05:25-00:05:26 要找個技術來幫你裝
00:05:26-00:05:27 現在
00:05:27-00:05:28 直接跟AI說我要裝這個
00:05:28-00:05:30 你甚至說我要裝這個
00:05:30-00:05:31 Agent Reach
00:05:31-00:05:32 就夠了
00:05:32-00:05:33 他說你缺這個缺那個
00:05:33-00:05:34 授權
00:05:34-00:05:35 搞定
00:05:35-00:05:37 所以不要想太複雜
00:05:37-00:05:38 第一個Agent Reach
00:05:38-00:05:39 就是Codex裡面最厲害的
00:05:39-00:05:41 搜索工具
00:05:41-00:05:43 包括你要搜同類型的文章
00:05:43-00:05:44 你看我那個Lotion
00:05:44-00:05:45 這麼多AI的文章
00:05:45-00:05:46 對吧
00:05:46-00:05:47 全是用Agent Reach
00:05:47-00:05:48 !收出來的
00:05:48-00:05:50 我只是給他一個方向而已
00:05:50-00:05:52 我需要學AI的這些文章
00:05:52-00:05:53 一百篇就出來了
00:05:53-00:05:56 然後用CMI直接塞到你的自治庫
00:05:56-00:05:57 結束
00:06:09-00:06:10 所以說我們是不是
00:06:10-00:06:11 哇
00:06:11-00:06:13 收完了以後下載一個T-HOP的項目
00:06:13-00:06:14 我就有數字員工了
00:06:14-00:06:15 不是啊
00:06:15-00:06:17 首先你要先知道誰來用它
00:06:17-00:06:18 對吧
00:06:18-00:06:19 它的數據來源是甚麼
00:06:19-00:06:20 怎麼失敗的
00:06:20-00:06:21 這個是人要去做的
00:06:21-00:06:23 它肯定不可能
00:06:23-00:06:25 一下載下來就能掛人了
00:06:25-00:06:26 對吧
00:06:26-00:06:28 你要你最後輸出是長甚麼樣的
00:06:28-00:06:30 你要用成甚麼樣子的東西
00:06:30-00:06:31 要人工批准啊
00:06:31-00:06:33 人運行
00:06:33-00:06:34 人解釋
00:06:34-00:06:35 人追責
00:06:35-00:06:36 OK
00:06:36-00:06:37 那我們來看一下
00:06:37-00:06:38 TradingAgents
00:06:38-00:06:39 厲害的地方了
00:06:42-00:06:43 就我有個疑問
00:06:43-00:06:44 哇
00:06:44-00:06:45 這只是假設
00:06:45-00:06:46 我就說
00:06:46-00:06:47 我好想買英偉達的股票
00:06:47-00:06:49 但我不知道現在這個股價怎麼樣
00:06:49-00:06:50 業績怎麼樣
00:06:50-00:06:51 那以前我們要怎麼樣
00:06:51-00:06:53 打開一堆的甚麼富途牛牛啊
00:06:53-00:06:54 上Google啊
00:06:54-00:06:55 送這個公司財報
00:06:55-00:06:57 剛公佈的財報
00:06:57-00:06:58 對吧
00:06:58-00:07:00 8月26號公佈的英偉達財報
00:07:00-00:07:01 業績非常牛逼
00:07:01-00:07:02 那代表甚麼呀
00:07:02-00:07:03 對吧
00:07:03-00:07:04 那現在是市值
00:07:04-00:07:05 值不值這個錢啊
00:07:05-00:07:06 我啥也不知道
00:07:06-00:07:08 一收亂七八糟的信息
00:07:08-00:07:09 我還要主張去想
00:07:09-00:07:10 那完蛋了呀
00:07:10-00:07:11 對吧
00:07:11-00:07:13 最後我的決策練路這麼長
00:07:13-00:07:15 並且決策的過程
00:07:15-00:07:16 數據又不完整
00:07:16-00:07:18 練路又長
00:07:18-00:07:19 那最後的決策
00:07:19-00:07:20 科不科學
00:07:20-00:07:21 我也不知道
00:07:21-00:07:22 都是主觀的
00:07:22-00:07:23 對吧
00:07:23-00:07:24 那這個Agent 他做了甚麼事情呢
00:07:28-00:07:30 好我們做的步驟啊
00:07:30-00:07:32 第一個我們先用Agent Beach
00:07:32-00:07:35 去收到底能滿足你需求的
00:07:35-00:07:36 有甚麼工具
00:07:36-00:07:37 在T-Hot上面
00:07:37-00:07:39 人家已經開發的很完善了呀
00:07:39-00:07:40 然後呢
00:07:40-00:07:41 你用Agent去讀它的結構
00:07:41-00:07:43 到底它乾了甚麼事情
00:07:43-00:07:44 對吧
00:07:44-00:07:45 有甚麼核心的流程
00:07:45-00:07:47 然後第三步呢
00:07:47-00:07:48 你不要想這樣很複雜
00:07:48-00:07:49 都是那Agent做的
00:07:49-00:07:51 就是那你的Coldest做
00:07:51-00:07:53 第三步就把它刻錄到本地
00:07:53-00:07:54 下載下來
00:07:54-00:07:55 試用一下
00:07:55-00:07:56 能不能省查
00:07:56-00:07:57 能不能回滾啊
00:07:57-00:07:59 能不能試用一下
00:07:59-00:08:01 最後用Coldest
00:08:03-00:08:04 對吧
00:08:04-00:08:05 你想二次開發
00:08:05-00:08:06 隨便你開發
00:08:06-00:08:08 你也可以下載別的Agent
00:08:08-00:08:09 滿足你工作的
00:08:09-00:08:10 你想要二次開發
00:08:10-00:08:12 你就先用Agent解釋完
00:08:12-00:08:14 再講清楚你的需求
00:08:14-00:08:16 調給Superpower
00:08:16-00:08:17 對吧
00:08:17-00:08:18 直接幫你開改
00:08:18-00:08:19 改完了
00:08:19-00:08:20 好
00:08:28-00:08:29 那我們來這裡呢
00:08:29-00:08:30 很好玩的呀
00:08:30-00:08:31 我已經
00:08:31-00:08:32 對
00:08:32-00:08:34 雖然我講基礎呢
00:08:34-00:08:35 不是講的很好
00:08:35-00:08:36 但是我都是有準備的
00:08:36-00:08:38 我在網站上面呢
00:08:38-00:08:42 你可以直接打開這個
00:08:42-00:08:44 這個啊
00:08:44-00:08:46 是我當時調用它的時候給的POM
00:08:46-00:08:48 簡單到你不相信
00:08:48-00:08:53 你之前聊過天的GPT
00:08:53-00:08:54 你都可以保存的呀
00:08:54-00:08:56 就是你的聊天記錄可以保存的呀
00:08:56-00:08:57 OK
00:08:57-00:09:00 我已經放在網站上了
00:09:00-00:09:01 這裡啊
00:09:01-00:09:02 打開就是了
00:09:02-00:09:03 這簡單到你都不相信
00:09:03-00:09:04 我就
