00:00:00-00:00:02 把那扣交給他我就可以去睡覺了
00:00:02-00:00:03 那這個他是真的能做到
00:00:03-00:00:05 所以最賺錢的也是這個公司
00:00:05-00:00:06 說實在
00:00:07-00:00:08 企業級應用啊
00:00:10-00:00:12 那你說昨天我還問那個
00:00:12-00:00:13 那個博士啊
00:00:13-00:00:14 哦
00:00:14-00:00:15 這個是Soul Max
00:00:15-00:00:17 就是5.6的這個
00:00:18-00:00:19 這個我們常用的這個
00:00:20-00:00:22 昨天我問那個高博士我說你們是在做科研
00:00:22-00:00:24 那你用每個模型啊
00:00:24-00:00:25 用P6 100是嗎
00:00:25-00:00:27 你昨天講的好像很厲害樣子
00:00:27-00:00:28 他說別傻了
00:00:28-00:00:30 我們全是用GPT 5.6的OK
00:00:30-00:00:31 因為呢
00:00:31-00:00:32 我們還是要用
00:00:33-00:00:36 在科研他說每個環節其實他都要極高的智商
00:00:36-00:00:38 去處理一些難題的啊
00:00:38-00:00:42 那相對招一個人來說這個已經是最便宜的了
00:00:42-00:00:43 你後來想一想
00:00:43-00:00:46 200美金一個月啊假設你都請
00:00:46-00:00:48 你去請個實際生都不夠
00:00:48-00:00:48 對不對
00:00:49-00:00:50 但是你用這個
00:00:50-00:00:52 你就請了幾個頂尖的工程師啊
00:00:52-00:00:53 啊
00:00:53-00:00:55 數據分析師啊等等啊
00:00:55-00:00:55 OK
00:00:55-00:01:01 好但是怎麼省Poken啊你也可以看到啊
00:01:01-00:01:03 Luna呢也是
00:01:03-00:01:05 也是GPT裡面的
00:01:05-00:01:07 硬桿利息的一個模型啊
00:01:07-00:01:08 所以你可以知道啊
00:01:08-00:01:11 比如說你意圖很清晰不用讓
00:01:11-00:01:13 呃模型去思考判斷你的意圖的
00:01:13-00:01:15 也不是很複雜的任務
00:01:15-00:01:17 其實你用低端的模型就可以解決了
00:01:18-00:01:18 用Luna Next
00:01:19-00:01:20 如果你已經把執行的那個
00:01:20-00:01:21 列表都給他了
00:01:22-00:01:23 你只是操作一下文件啊
00:01:23-00:01:24 寫一些代碼
00:01:24-00:01:26 其實用普通的就可以了
00:01:26-00:01:27 但是如果你要Grainstone
00:01:28-00:01:29 思考了寫計畫的
00:01:30-00:01:31 一個長任務的規劃的
00:01:31-00:01:32 一定要用
00:01:32-00:01:33 啊
00:01:33-00:01:34 我們粵語的
00:01:38-00:01:38 啊
00:01:39-00:01:39 So high
00:01:43-00:01:44 Chu so high
00:01:45-00:01:46 OK啊
00:01:47-00:01:48 OK啊
00:01:48-00:01:49 王先生啊
00:01:49-00:01:49 啊
00:01:49-00:01:50 啊
00:01:50-00:01:50 啊
00:01:50-00:01:52 所以什麼時候可以降檔啊
00:01:52-00:01:54 所以你對質量的要求高不高
00:01:54-00:01:54 對吧
00:01:55-00:01:55 你對速度
00:01:55-00:01:56 欸速度這個呢
00:01:57-00:01:57 待會不會講啊
00:01:58-00:01:59 越高推你能力的
00:01:59-00:02:00 其實是越慢的啊
00:02:00-00:02:01 再來你的成本
00:02:10-00:02:11 好這個就計費了
00:02:11-00:02:12 這個我也不用多說了
00:02:13-00:02:15 你們回去試用就感受到了啊
00:02:15-00:02:17 昨天的Webbody每個月都有送積分啊
00:02:17-00:02:19 搞笑了就說我用Codex
00:02:19-00:02:21 寫了個自動領積分的
00:02:21-00:02:23 我就可以每天都用了啊
00:02:23-00:02:24 OK
00:02:25-00:02:26 那實際上
00:02:27-00:02:29 呃呃呃你用了體感就知道啊
00:02:29-00:02:30 我一開始
00:02:30-00:02:32 也是嘗試著用20刀的
00:02:32-00:02:33 後來發現實在是
00:02:34-00:02:35 不夠用所以呢
00:02:35-00:02:37 最少要200刀起了啊
00:02:37-00:02:37 這個
00:02:38-00:02:38 模型啊
00:02:38-00:02:39 那速度呢
00:02:39-00:02:40 就這樣子啊
00:02:41-00:02:41 呃
00:02:41-00:02:42 速度可能
00:02:43-00:02:44 可能他們很多這種
00:02:45-00:02:46 這種fresh模型啊
00:02:46-00:02:47 越簡單的模型
00:02:47-00:02:49 其實它反應是越快的啊
00:02:49-00:02:51 那橫軸呢是輸入的反應啊
00:02:51-00:02:53 所以你只是問一些最基礎的問題呢
00:02:54-00:02:56 你其實用比較便宜比較快的就可以啊
00:03:00-00:03:02 好所以你這個大概就給你一個
00:03:03-00:03:04 一個概念啊
00:03:05-00:03:06 就是我到底多快多貴
00:03:07-00:03:08 你要去想這個問題
00:03:08-00:03:09 我這個任務
00:03:09-00:03:10 符不複雜要不要用複雜模型
00:03:11-00:03:12 我上下文有多少
00:03:12-00:03:13 對吧
00:03:13-00:03:15 來來去思考這個問題
00:03:15-00:03:16 去調用什麼模型
00:03:17-00:03:18 昨天我幫
00:03:18-00:03:19 補個裝完了
00:03:19-00:03:20 他全部用最貴的那個
00:03:20-00:03:21 最強的那個
00:03:21-00:03:21 對吧
00:03:22-00:03:22 兩下Token就沒了
00:03:23-00:03:24 問我怎麼Token沒了
00:03:24-00:03:26 我說你其實這麼簡單的
00:03:26-00:03:27 處理文件的任務
00:03:27-00:03:29 用剛剛那個Lunamax就可以了
00:03:31-00:03:32 好再來呢你可以
00:03:33-00:03:35 定期的去管理你的上下文啊
00:03:35-00:03:37 我講的案例全是Codex的
00:03:37-00:03:39 因為我現在比較少用的問題啊
00:03:41-00:03:42 那Codex呢就是
00:03:42-00:03:45 你要查看你現在上下文佔了多少
00:03:45-00:03:46 因為佔了越多了
00:03:46-00:03:47 你可能
00:03:47-00:03:48 廢話有點太多
00:03:49-00:03:49 它就比較貴
00:03:50-00:03:52 所以你用那個Status呢就可以看到
00:03:52-00:03:54 我現在到底佔了多少
00:03:54-00:03:56 然後如果你一個任務已經
00:03:57-00:03:59 完成完了你就可以把它壓縮一下
00:04:00-00:04:01 壓縮一下它其實現在也有自動的了
00:04:02-00:04:04 你聊著聊著它也會自動幫你壓縮的
00:04:05-00:04:09 然後其實呢Agent呢它還有個厲害的地方
00:04:09-00:04:12 它就是有自動化的一些memory的原理
00:04:12-00:04:13 它能夠記得你說過啥
00:04:14-00:04:16 知道你的慣性你在做什麼任務
00:04:16-00:04:17 它都能夠知道啊
00:04:18-00:04:18 所以能夠幫你
00:04:19-00:04:20 完成你想要的事情
00:04:22-00:04:23 那這個呢是我們待會會
00:04:24-00:04:25 比較深度講的
00:04:25-00:04:27 到底怎麼去寫一些Hardness
00:04:28-00:04:29 包括Agent也MD啊
00:04:29-00:04:30 MD又是什麼啊呀
00:04:31-00:04:32 這個待會我們會說啊
00:04:32-00:04:33 好
00:04:35-00:04:37 那時間有限我這些實操直接跳過
00:04:37-00:04:40 你們回去自己多操作
00:04:52-00:04:52 OK
00:04:52-00:04:53 好
00:04:53-00:04:54 那我們直接下一個環節
00:04:54-00:04:57 第二招呢我們講的是架構啊
00:04:57-00:04:59 那到底呢我們怎麼來選擇我們
00:05:00-00:05:02 具體的工作具體的架構啊
00:05:02-00:05:03 OK
00:05:11-00:05:13 好那簡單的來說呢你在用AI的時候啊
00:05:14-00:05:17 你不要想到什麼就用什麼你要先把這個工作講清楚了
00:05:17-00:05:18 然後呢
00:05:19-00:05:20 讓他能夠真的
00:05:20-00:05:23 創建完文件當他是你要把AI當成人
00:05:24-00:05:25 就當他是真的一個員工啊
00:05:26-00:05:27 你要給他足夠的
00:05:27-00:05:28 資料啊
00:05:28-00:05:29 誰用的呀
00:05:29-00:05:31 怎麼樣的情況下你觸發啊
00:05:31-00:05:33 到底我要最後你招交付什麼給我啊
00:05:33-00:05:34 你要跟他
00:05:34-00:05:36 盡量的說清楚啊
00:05:37-00:05:40 然後再來了你要判斷你的任務到底長什麼樣子
00:05:40-00:05:42 有很多人說啊我又想做AI
00:05:42-00:05:43 用AI做這個
00:05:43-00:05:44 又想用AI做那個
00:05:44-00:05:45 對吧
00:05:45-00:05:46 那有的又很複雜有的又
00:05:47-00:05:47 啊
00:05:47-00:05:49 沒什麼意義做出來
00:05:49-00:05:50 所以我們說呢
00:05:50-00:05:53 第一個你先考慮到你身邊有什麼
00:05:53-00:05:54 很高價值的任務
00:05:54-00:05:55 他是比較簡單的
00:05:56-00:05:57 你先把它做
00:05:57-00:05:58 練練手
00:05:58-00:05:58 對吧
00:05:58-00:06:00 然後再來呢你要做一些
00:06:00-00:06:01 系統級別的
00:06:02-00:06:02 OK
00:06:02-00:06:04 複雜度很高價值又很高的
00:06:04-00:06:06 那就不要急慢慢做
00:06:06-00:06:08 先縮小每一個小環節都給他閉環了
00:06:08-00:06:11 最後連串起來變成一個系統啊
00:06:11-00:06:13 那低價值的
00:06:13-00:06:14 也很簡單的
00:06:14-00:06:15 那你就隨便
00:06:15-00:06:16 有空的時候做一做啊
00:06:17-00:06:19 那不要去整天做一些又複雜又沒價值的
00:06:19-00:06:22 再哪一段糟糕可能是沒有太大意義的
00:06:23-00:06:24 好所以我們做了
00:06:24-00:06:25 複雜的系統啊
00:06:25-00:06:28 他不是一下子給AI就搭出來了
00:06:28-00:06:30 我們還是需要一步步的去
00:06:30-00:06:31 觀察他
00:06:31-00:06:31 避環他
00:06:32-00:06:32 審查他
00:06:33-00:06:34 最後控制他
00:06:34-00:06:36 最後才能成為真正的一個成熟系統
00:06:37-00:06:38 以前的這些工作量非常大
00:06:38-00:06:39 現在呢
00:06:40-00:06:41 你真的可以幫AI幫你
00:06:42-00:06:44 寫一個系統寫一個網上都是沒問題的
00:06:53-00:06:54 這些這些我們直接看一看就可以
00:06:55-00:06:56 因為不是什麼很複雜的事情
00:06:56-00:06:57 就是我們以
00:06:58-00:07:00 現在呢大部分的執行就是讓AI做的
00:07:00-00:07:02 我們人呢就是要做好判斷啊
00:07:03-00:07:05 授權啊給資料啊批准他呀
00:07:05-00:07:10 然後什麼時候呢這個系統啊要停止了
00:07:10-00:07:11 比如說燒太過Token了
00:07:12-00:07:13 一直卡在一個出落的點
00:07:14-00:07:16 沒辦法弄好或者是他的需求不清楚
00:07:19-00:07:20 是要把它停住啊
00:07:21-00:07:24 所以我們說呢很多時候我們做系統之前呢
00:07:24-00:07:24 就是先
00:07:25-00:07:27 這個MVP這個詞呢現在經常聽啊
00:07:27-00:07:29 就是minimum value
00:07:30-00:07:30 忘記什麼了
00:07:30-00:07:32 就是一個最小的一個
00:07:33-00:07:33 Potup
00:07:34-00:07:35 最小的一個
00:07:36-00:07:36 壁環的產品
00:07:37-00:07:37 Potup
00:07:37-00:07:38 OK
00:07:38-00:07:39 然後能壁環了
00:07:39-00:07:41 那你就能找到它
