00:00:00-00:00:01 你到底想乾嘛
00:00:01-00:00:03 我要把這個
00:00:03-00:00:04 哦
00:00:04-00:00:05 Hudders的
00:00:05-00:00:07 這個其實就叫Hudders
00:00:07-00:00:09 因為你要控制它是做這個職業的
00:00:09-00:00:09 對吧
00:00:09-00:00:11 就是Agent.md 設完了
00:00:11-00:00:13 它就是一個
00:00:13-00:00:14 前班工程師
00:00:15-00:00:16 誒
00:00:16-00:00:17 誒
00:00:17-00:00:19 又沒有這個啊
00:00:30-00:00:31 哦
00:00:31-00:00:32 我幫了多哈
00:00:32-00:00:32 這些
00:00:32-00:00:34 好
00:00:34-00:00:38 所以
00:00:38-00:00:41 所以我剛才其實GitHub上面呢
00:00:41-00:00:43 我已經讓我的Codex啊
00:00:43-00:00:47 去幫我把這個前端的員工給搞下來了啊
00:00:47-00:00:49 一個字沒寫
00:00:49-00:00:52 就說幫我把這個前端搞下來
00:00:52-00:00:54 它就知道我要調甚麼工具
00:00:54-00:00:55 我要甚麼工作要做的
00:00:55-00:00:56 對吧
00:00:56-00:00:59 有甚麼優化性能的維護代碼
00:00:59-00:01:00 必須遵守
00:01:00-00:01:03 性能優先開發
00:01:03-00:01:05 對吧
00:01:05-00:01:06 然後V-act
00:01:06-00:01:08 V-act 甚麼意思啊
00:01:08-00:01:08 它就這架構
00:01:08-00:01:09 V-act 組件
00:01:09-00:01:10 怎麼樣
00:01:10-00:01:11 有V-cent的
00:01:11-00:01:12 然後再Action
00:01:12-00:01:12 等等
00:01:12-00:01:14 它的架構你都可以不用管
00:01:14-00:01:16 它就是把你設好了
00:01:16-00:01:17 這個限制了
00:01:17-00:01:19 然後再寫你的工作流程
00:01:19-00:01:20 對吧
00:01:20-00:01:22 項目搭建和架構
00:01:22-00:01:23 組件開發
00:01:23-00:01:23 性能優化
00:01:23-00:01:25 測試和資料保證
00:01:25-00:01:27 你的交付物就是一個UI
00:01:27-00:01:28 對吧
00:01:28-00:01:29 性能
00:01:29-00:01:30 有甚麼硬條件
00:01:30-00:01:31 這些都是Hunners
00:01:31-00:01:32 就別的
00:01:32-00:01:35 一個前端工程師幫你寫好的一個Hunners
00:01:35-00:01:37 你直接分析了就能用了
00:01:37-00:01:42 然後還有你的溝通風格
00:01:42-00:01:43 各種
00:01:43-00:01:44 這很大的一個文件
00:01:44-00:01:46 其實它就是第一個Hunners
