00:00:00-00:00:01 做出一個七八糟的東西出來
00:00:01-00:00:04 所以我們必須要做好我們的Hudders
00:00:04-00:00:05 我們來看一下
00:00:05-00:00:07 先放這個
00:00:07-00:00:11 今天AI的編程太厲害
00:00:11-00:00:12 AI的Agent太厲害
00:00:12-00:00:14 一個公司要往前走
00:00:14-00:00:17 需要把大量的AI員工帶進來
00:00:17-00:00:19 帶進來的第一個問題就是
00:00:19-00:00:22 你在公司有誰會晚會去操作
00:00:22-00:00:23 會去指導
00:00:23-00:00:26 會去orchestrate這一批AI員工
00:00:26-00:00:27 這些人要幫他找出來
00:00:27-00:00:29 如果公司裡面沒有就要招進來
00:00:29-00:00:31 這是第一個需要做的
00:00:31-00:00:33 第二個就是如果公司AI員工越來越多
00:00:33-00:00:35 有些真的學不會有AI
00:00:35-00:00:37 管理AI員工只會管理人
00:00:37-00:00:39 而且管理的過程中
00:00:39-00:00:43 可能更多的是官僚的信息的上傳下達
00:00:43-00:00:46 對還有人的彼此的認知
00:00:46-00:00:49 然後甚至玩一些落手工程的政治游戲
00:00:49-00:00:52 那這些人也要早點識別出來
00:00:52-00:00:54 讓他們開始離開公司
00:00:54-00:00:56 完全去AI那一條
00:00:56-00:00:58 對而且公司的員工
00:00:58-00:01:00 大部分是AI員工
00:01:00-00:01:02 可能80% 90% 95%
00:01:02-00:01:05 當然這不代表人就會失業了
00:01:05-00:01:06 人至70% 80% 90%
00:01:06-00:01:08 因為也許我們的業務漲了10倍
00:01:08-00:01:09 漲了100倍
00:01:09-00:01:10 所以也許員工還獲當
00:01:10-00:01:11 只是AI員工
00:01:11-00:01:13 一定是越大於人的數量
00:01:13-00:01:15 因為我們的所有的員工
00:01:15-00:01:17 他們能做的任務越來越多
00:01:17-00:01:20 AI可以做的更快更好更業
00:01:20-00:01:22 比如說你在抖音看到一個
00:01:22-00:01:23 哇我覺得他講的好好啊
00:01:23-00:01:25 這是我想講的東西
00:01:25-00:01:27 怎麼能夠把它轉成你的呢
00:01:27-00:01:28 對吧
00:01:28-00:01:31 真的就發一句命令給AI就可以了嗎
00:01:31-00:01:32 那個不太現實啊
00:01:32-00:01:34 所以我簡單做了一下
00:01:34-00:01:35 因為我也不是做自媒體
00:01:35-00:01:36 也不是做視頻的
00:01:36-00:01:37 但是我在學習一個
00:01:37-00:01:38 它工程太厲害了
