00:00:00-00:00:04 以及agent在Lobardy上面應該怎麼去使用
00:00:04-00:00:05 這是一個核心的
00:00:05-00:00:07 然後我相信在操作的過程中
00:00:07-00:00:13 大家也掌握了這種基本的agent產品的一個交互的這樣的一個方式
00:00:13-00:00:15 然後第三是信息檢索
00:00:15-00:00:19 也就是怎麼樣快速的去生產出一份這個調研的報道
00:00:19-00:00:20 對吧
00:00:20-00:00:22 然後無論是你給自己的公司
00:00:22-00:00:24 給自己日常的業務
00:00:24-00:00:27 你所在的行業去做這種行業調研
00:00:27-00:00:30 這麼把它變成一份可視化非常強的HTML
00:00:30-00:00:36 然後以及連接你自己人背書去變成一份可以大家分享的這樣的一份文檔
00:00:36-00:00:40 那首先在這個小節是有跟大家講清楚的
00:00:40-00:00:43 然後第四是多模態的內容創作
00:00:43-00:00:45 這是我們最核心最重要的一塊
00:00:45-00:00:48 因為我們所有的AI生成的內容
00:00:48-00:00:52 無非都基本上離不開這幾個模態
00:00:52-00:00:53 大家日常工作裡面
00:00:53-00:00:56 文字模態 圖片模態 視頻模態
00:00:56-00:00:58 分別用的是甚麼工具
00:00:58-00:01:01 以及它應該怎麼去生成 怎麼去使用
00:01:01-00:01:05 我們在這個板塊對大家有一個比較詳細的講解
00:01:05-00:01:07 然後到了數據分析
00:01:07-00:01:10 我們怎麼快速的當我們擁有了一份
00:01:10-00:01:12 我們來說我們自己的一些數據表格
00:01:12-00:01:16 然後我們快速的通過WorkBuddy去調用專家團
00:01:16-00:01:18 如果你用的不是WorkBuddy你用Codex
00:01:18-00:01:19 怎麼通過數據清洗
00:01:19-00:01:23 然後再到後面的這種調點的分析
00:01:23-00:01:26 再到檢測再到護盤這樣的一個整體流程
00:01:26-00:01:29 已經變成一個可視化不讓強的HTML
00:01:29-00:01:31 這是在這個小節講的事情
00:01:31-00:01:36 那今天我們還會再聊一聊就是更深度的東西了
00:01:36-00:01:37 在基於昨天以上的
00:01:37-00:01:39 我們今天會聊一聊提示詞工程
00:01:39-00:01:40 以及SPEO的構建
00:01:40-00:01:43 以及一些企業自動化落地的一些內容
00:01:43-00:01:46 那昨天也有小夥伴提醒我
00:01:46-00:01:48 可以把這個二維碼貼出來
00:01:48-00:01:50 就是這是我自己的小紅書的二維碼
00:01:50-00:01:52 大家如果感情的話可以去去搜一下
00:01:52-00:01:54 然後大家搜這個名字也能說得到
00:01:54-00:01:56 因為我在裡面會分享很多
00:01:56-00:01:59 就是因為我們本身就是在從事營銷
00:01:59-00:02:00 跟寶寶行業
00:02:00-00:02:02 以及在AI裡面用的比較多
00:02:02-00:02:04 所以我們分享的大多數都是
00:02:04-00:02:05 曾聖者日常在工作中
00:02:05-00:02:07 會使用到的一些實操的技巧
00:02:07-00:02:11 我們不太會說就是一些渲染焦慮的東西
00:02:11-00:02:12 所以大家感興趣的話可以看一看
00:02:12-00:02:15 那進入真題
00:02:15-00:02:17 我們今天一大早
00:02:17-00:02:18 周日的一大早
00:02:18-00:02:23 就是要學一個甚麼東西呢
00:02:23-00:02:25 我們叫做在現在這個階段來說
00:02:25-00:02:27 大家每個人都有一個需求
00:02:27-00:02:31 就是把自己的日常工作去做自動化
00:02:31-00:02:34 以及說去讓自己的每一個
00:02:34-00:02:37 某一個業務流變成一個在自己電腦上
00:02:37-00:02:39 可以自動去跑步的一個事情
00:02:39-00:02:41 於是在AI行業裡面
00:02:41-00:02:45 其實就多了一個讓大家可能日常裡面
00:02:45-00:02:47 都會提到的關鍵詞
00:02:47-00:02:48 叫提示詞工程
00:02:48-00:02:50 以及在這兩年來說的話
00:02:50-00:02:54 就會就是今年上半年開始延展到現在
00:02:54-00:02:55 大家在小紅書也好社會上面
00:02:55-00:02:57 經常會提到的一個詞
00:02:57-00:02:58 Skill
00:02:58-00:02:59 也在我昨天的過程中
00:02:59-00:03:00 一直會講到的這個詞
00:03:00-00:03:02 那他們到底是甚麼意思
00:03:02-00:03:04 以及怎麼去寫
00:03:04-00:03:05 關於自己的一個提示詞
00:03:05-00:03:07 以及自己的一個Skill
00:03:07-00:03:09 我們在這個裡面會跟大家講清楚
00:03:09-00:03:12 首先提示詞這個東西
00:03:12-00:03:14 應該在座各位
00:03:14-00:03:15 沒有人沒聽過這個詞吧
00:03:15-00:03:16 對吧
00:03:16-00:03:18 大家應該每天都聽到Pront
00:03:18-00:03:18 Prompt
00:03:18-00:03:20 大家您用的是甚麼樣的提示詞
00:03:20-00:03:21 您用的是甚麼Pront
00:03:21-00:03:23 但是大家也沒有理解過
00:03:23-00:03:26 它其實也是有一個發展逆層的
00:03:26-00:03:28 就是提示詞發展到今天
00:03:28-00:03:31 它其實也經歷了幾個變化
00:03:31-00:03:34 首先另一個是我們所說的框架時期
00:03:34-00:03:37 我相信大家在這開始AI出來的時候
00:03:37-00:03:38 應該聽過一些框架
00:03:38-00:03:40 類似甚麼Costar框架
00:03:40-00:03:42 JSK框架
00:03:42-00:03:44 包括一些Price等等
00:03:44-00:03:45 等等這樣的框架
00:03:45-00:03:47 那那個時候為甚麼會出現這個東西呢
00:03:47-00:03:49 因為大家大多數的人
00:03:49-00:03:51 包括很多的老師也好
00:03:51-00:03:53 他們其實都是初次去接觸
00:03:53-00:03:54 這種大模型的內容
00:03:54-00:03:56 那面對這種AI
00:03:56-00:03:57 大家特別需要一種
00:03:57-00:04:00 特別懸不得這樣的一個
00:04:00-00:04:02 好像看起來非常提醒的
00:04:02-00:04:03 這樣的一個結構
00:04:03-00:04:05 去幫助你控制這個AI的輸出
00:04:05-00:04:07 於是就出來了
00:04:07-00:04:09 非常多的這樣的一個框架形態
00:04:09-00:04:11 但今天看來這樣的框架形態
00:04:11-00:04:13 它會一定是合適的
00:04:13-00:04:15 或者是說它是一個非常科學的用法
00:04:15-00:04:18 但在當時其實引起了一種很大的複潮
00:04:18-00:04:21 我們說那個時候的核心特徵
00:04:21-00:04:23 它就是追求這種固定的
00:04:23-00:04:25 可複製性的這種提示詞的模板
00:04:25-00:04:27 那到了第二個階段
00:04:27-00:04:30 我會把它調稱於基剛階階段
00:04:30-00:04:31 在這裡有人知道
00:04:31-00:04:32 李基剛這個人的嗎
00:04:32-00:04:33 有沒有聽過
00:04:33-00:04:34 不要對不對
00:04:34-00:04:36 李基剛老師是當時
00:04:36-00:04:37 當時其實有一點是這樣的
00:04:37-00:04:39 就是大家覺得AI的能力
00:04:39-00:04:43 怎麼去讓AI回答的你更好呢
00:04:43-00:04:44 無非就是一件事情
00:04:44-00:04:46 叫做用上更好的模型
00:04:46-00:04:49 這個好像聽起來是比較
00:04:49-00:04:51 比較順應這個認知的
00:04:51-00:04:53 但核心這個裡面又少去了一個點
00:04:53-00:04:55 就是在當時模型能力
00:04:55-00:04:56 沒到強的時候
00:04:56-00:04:58 有一些人能用的很好
00:04:58-00:05:00 有一些人沒有辦法用的那麼好
00:05:00-00:05:01 原因是甚麼
00:05:01-00:05:02 是他的提示詞能力
00:05:02-00:05:04 於是李基剛老師
00:05:04-00:05:05 作為當時的一個代表
00:05:05-00:05:06 就是他在提示詞方面
00:05:06-00:05:08 是非常厲害的
00:05:08-00:05:10 就是他等於說
00:05:10-00:05:11 大家都在用AI寫文案
00:05:11-00:05:12 他寫出來的
00:05:12-00:05:13 用AI寫出來的文案
00:05:13-00:05:14 就能夠去讓大家共起
00:05:14-00:05:16 那為甚麼他能夠讓
00:05:16-00:05:18 包括我昨天在講文案
00:05:18-00:05:19 他要趕快的時候
00:05:19-00:05:21 有講到那個共振法
00:05:21-00:05:21 大家記得嗎
00:05:21-00:05:22 寫那個
00:05:22-00:05:25 脫口袖腳本的
00:05:25-00:05:26 那個就是他寫出來的
00:05:26-00:05:27 他對這件事情的理解
00:05:27-00:05:28 非常地神奇
00:05:28-00:05:30 以及他有很多的案例
00:05:30-00:05:32 佐證他對於這件事情的理解
00:05:32-00:05:33 所以我們說
00:05:33-00:05:36 他把Pront去視為一種
00:05:36-00:05:37 與AI溝通的編程語言
00:05:37-00:05:39 然後去強調其中的邏輯
00:05:39-00:05:41 承測可識性
00:05:41-00:05:42 以及給出了非常多的案例
00:05:42-00:05:44 所以當時激發了大家
00:05:44-00:05:46 對於提示詞能夠更好的
00:05:46-00:05:48 引導AI去解決問題的
00:05:48-00:05:48 這樣的一個說法
00:05:48-00:05:50 這是第二個時期
00:05:50-00:05:52 那到了第三個時期
00:05:52-00:05:53 其實是去年的時候
00:05:53-00:05:55 去年隨著我們所說的
00:05:55-00:05:56 整個AI行業
00:05:56-00:05:58 慢慢地去往行業化
00:05:58-00:05:59 以及更垂直的領域
00:05:59-00:06:01 去深化的過程中
00:06:01-00:06:03 那越來越多不同的領域的專家
00:06:03-00:06:05 以及這種我們所說的
00:06:05-00:06:06 從業者去加入
00:06:06-00:06:08 提示詞就慢慢地變成
00:06:08-00:06:09 每個行業
00:06:09-00:06:10 好像都有自己
00:06:10-00:06:12 應該去做的
00:06:12-00:06:13 這樣的一個模式和規板
00:06:13-00:06:15 去年視頻模型
00:06:15-00:06:16 還沒有出來的時候
00:06:16-00:06:17 就是很好的視頻模型
00:06:17-00:06:19 那就是C-Dance 2.0
00:06:19-00:06:20 還沒有出來的時候
00:06:20-00:06:23 那大家在寫腳本式的提示詞
00:06:23-00:06:26 其實是需要非常長篇大論的
00:06:26-00:06:28 把每一個分鏡
00:06:28-00:06:29 人物腳本
00:06:29-00:06:30 甚麼都猜得很細
00:06:30-00:06:32 動作都猜得很細
00:06:32-00:06:34 那這個其實就是我們所說的
00:06:34-00:06:35 基於影視這個行業
00:06:35-00:06:37 去寫提示詞的時候的
00:06:37-00:06:38 一個背後的思考
00:06:38-00:06:40 那不單單有影視行業
00:06:40-00:06:42 還有圖片的行業
00:06:42-00:06:43 還有甚至其他
00:06:43-00:06:44 所有的這些行業
00:06:44-00:06:45 每個行業都有自己的一些
00:06:45-00:06:46 系統性
00:06:46-00:06:47 以及行業應用的深化
00:06:47-00:06:49 所以這其實是我們所說的
00:06:49-00:06:50 提示詞
00:06:50-00:06:52 雖然大家可能每天都在聽
00:06:52-00:06:53 但因為用的
00:06:53-00:06:54 可能沒有那個深的情況下
00:06:54-00:06:56 沒有辦法去理解到
00:06:56-00:06:59 它其實整個是有一個變化的軌跡的
00:06:59-00:07:01 從最開始的這種套模板
00:07:01-00:07:03 再到這種真正的去系統的
00:07:03-00:07:04 去結合這種
00:07:04-00:07:06 結合化的思維和工程思維
00:07:06-00:07:08 再到現在基於行業
