00:00:00-00:00:01 還可以提問
00:00:01-00:00:02 它也會回答你問題
00:00:02-00:00:04 但是你會發現一件事情
00:00:04-00:00:05 叫做
00:00:05-00:00:07 它回答你的問題的時候
00:00:07-00:00:09 好像前面的東西已經忘掉了
00:00:09-00:00:12 它好像沒有之前那麼聰明
00:00:12-00:00:14 沒有最開始回答你那個問題
00:00:14-00:00:15 只有那個聰明
00:00:15-00:00:16 為甚麼呢
00:00:16-00:00:17 就是我們所說的
00:00:17-00:00:19 模型的上下文是有限的
00:00:19-00:00:21 這個我們用的這些agent
00:00:21-00:00:23 整個窗口也是有限的
00:00:23-00:00:24 所以當我們在處理一個
00:00:24-00:00:26 複雜任務的時候
00:00:26-00:00:28 我們有的時候是需要把任務拆開
00:00:28-00:00:31 有的任務拆開一個窗口來做的
00:00:31-00:00:33 那當然現在很多的agent
00:00:33-00:00:34 它也會做一些事情
00:00:34-00:00:35 叫做自壓縮
00:00:35-00:00:37 就是它發現太強了之後
00:00:37-00:00:39 它會自己很聰明的去壓縮
00:00:39-00:00:41 但往往有的時候壓縮的效率比較好
00:00:41-00:00:43 就比如說它壓下來之後
00:00:43-00:00:46 就可能說最開始的時候
00:00:46-00:00:48 接待你的是一個非常聰明的一名員
00:00:48-00:00:50 用著用著用著
00:00:50-00:00:51 它工作的一天
00:00:51-00:00:52 它很累了
00:00:52-00:00:53 它非常困
00:00:53-00:00:55 那這個時候可能會
00:00:55-00:00:57 領導會讓它喝一瓶紅牛
00:00:57-00:00:58 能撐起來
00:00:58-00:01:00 那這個時候依舊不是早上接待你的人
00:01:00-00:01:03 所以很多的時候我們需要乾嘛
00:01:03-00:01:04 需要新開窗口
00:01:04-00:01:06 所以我們需要把任務去分款
00:01:06-00:01:07 去做這件事情
00:01:07-00:01:10 所以這是我們在用AI的過程中的一個
00:01:10-00:01:12 就或者說鐵吉祭詞
00:01:12-00:01:14 在過程中要學會去把這些東西去採款
00:01:14-00:01:18 那還有一點就是我們要學會去
00:01:18-00:01:20 剛才所說的開新窗口也好
00:01:20-00:01:21 當時我們在用Champware的時候
00:01:21-00:01:23 我們要學會去上下文重置
00:01:23-00:01:25 就是忘掉我們之前所有的東西
00:01:25-00:01:27 我們重新來聊聊這個問題
00:01:27-00:01:29 但現在來說的話
00:01:29-00:01:29 你用了Engine
00:01:29-00:01:32 你基本上不需要上下文重置的這個工作了
00:01:32-00:01:36 那我們前面有說到一點就是之前的時候
00:01:36-00:01:38 提示詞的發展歷程
00:01:38-00:01:40 從最開始框架型
00:01:40-00:01:42 再到李濟剛老師這種系統的工程性
00:01:42-00:01:44 再到現在基於不同的行業的這種性
00:01:44-00:01:46 那其實核心就是一個問題
00:01:46-00:01:48 就是所有的這些格式
00:01:48-00:01:50 好像對大家來說更好理解了
00:01:50-00:01:51 那更重要的是
00:01:51-00:01:53 我們在設計提示詞的時候
00:01:53-00:01:55 一定要去基於業務維度去設計
00:01:55-00:01:58 類似於說這幾個都是提示詞
00:01:58-00:01:59 你會發現有一些提示詞
00:01:59-00:02:01 長得特別像代碼形式
00:02:01-00:02:03 他就是李濟剛老師
00:02:03-00:02:05 當時很喜歡用的那種綠格式
00:02:05-00:02:07 他會對於一些
00:02:07-00:02:08 我們說文本性的呈現
00:02:08-00:02:10 或者是一些結構化的呈現
00:02:10-00:02:11 它的精准度會更高
00:02:11-00:02:13 它好像就是讓梅艾
00:02:13-00:02:15 很精准地在辭行你這個任務
00:02:15-00:02:16 因為他把這些東西
00:02:16-00:02:18 變成了一種代碼的詞意
00:02:18-00:02:19 包括我們去深圖的時候
00:02:19-00:02:22 我們可以用另外一種代碼格式
