00:00:00-00:00:05 Escq 幫你做 GitHub 的一些工作術等等等等
00:00:05-00:00:07 Code Reveal 都可以做
00:00:07-00:00:10 你甚至可以拆解它其中一步來做
00:00:10-00:00:12 但你要一個完整的項目
00:00:12-00:00:14 想跟它溝通完再做
00:00:14-00:00:16 你就直接用 Superpowers 頂成了
00:00:16-00:00:18 如果你只想做寫計畫
00:00:18-00:00:21 你也可以交換它其中裡面的一個Skills
00:00:30-00:00:40 你會有任何的想跟它溝通的
00:00:40-00:00:42 跟它溝通完了呢
00:00:42-00:00:44 它都會不斷的問你問題啊
00:00:44-00:00:46 這個是一個對其需求的一個過程
00:00:46-00:00:48 其實是非常重要的
00:00:48-00:00:49 它都會問你啊
00:00:49-00:00:51 如果沒有數據怎麼辦啊等等的問題啊
00:00:51-00:00:55 大家回去可以把自己手頭上現在最想做的一個項目
00:00:55-00:00:57 比方說你想搭一個工作台
00:00:57-00:00:59 第一步應該怎麼做你覺得
00:01:00-00:01:02 我就想回去搭一個工作台
00:01:02-00:01:04 我第一步怎麼做
00:01:04-00:01:09 你把需求寫好了
00:01:09-00:01:11 直接一個Pump給這個
00:01:11-00:01:13 釣用Superpower 把Pump直接給它
00:01:13-00:01:15 說開始我們就做了
00:01:15-00:01:17 它馬上就可以幫你出計畫
00:01:17-00:01:18 然後最後你會發現
00:01:18-00:01:19 剛剛跑兩個小時
00:01:19-00:01:20 你工作台就出來了
00:01:20-00:01:22 你啥也沒幹
00:01:22-00:01:23 可以試一下
00:01:23-00:01:25 但是Token可能比較貴
00:01:30-00:01:35 所以比較貴的這個Pan和Execute的過程
00:01:35-00:01:37 就是它會識別你的任務
00:01:37-00:01:39 然後慢慢澄清你的需求
00:01:39-00:01:40 做方案對比
00:01:40-00:01:41 用什麼技術啊
00:01:41-00:01:42 實現啊對吧
00:01:42-00:01:44 然後設置確認了以後呢
00:01:44-00:01:45 它會有具體的一些字檢
00:01:45-00:01:47 最後寫成計畫幫你執行
00:01:47-00:01:49 和跟你慢慢的確認啊
00:01:49-00:01:50 你回去要搭什麼工作啊
00:01:50-00:01:51 小紅樹也好
00:01:51-00:01:52 投資美股也好
00:01:52-00:01:53 做什麼事情
00:01:53-00:01:55 你試一下用Superpower
00:01:55-00:01:57 它會給你一個意外的驚喜
00:02:05-00:02:06 好
00:02:06-00:02:07 那到這裡有什麼問題
00:02:07-00:02:08 沒有的話
00:02:08-00:02:09 我們休息一下下
00:02:09-00:02:10 待會再繼續
00:02:10-00:02:11 大家其實
00:02:11-00:02:13 上這麼高強度的課也累了
00:02:13-00:02:15 我這邊也不用太多時鈔了
00:02:15-00:02:18 那這種東西也不要求你們兩天學會
00:02:18-00:02:19 這不可能的
00:02:19-00:02:22 我都已經花了兩三個月才把這些東西做出來的吧
00:02:22-00:02:23 你聽了可能腦都脹脹了
00:02:23-00:02:25 但沒關係等你到時候要用了
00:02:25-00:02:28 很快的收工就兩個星期後
00:02:28-00:02:30 你就知道這個東西的威力了
00:02:30-00:02:31 好
00:02:31-00:02:32 好我們下次休息一下
