00:00:00-00:00:02 讓我兩把過來學習這個班
00:00:02-00:00:03 好
00:00:03-00:00:04 就是
00:00:04-00:00:05 跟我聊
00:00:05-00:00:05 好
00:00:05-00:00:06 跟你聊好了
00:00:06-00:00:06 好
00:00:06-00:00:07 來
00:00:07-00:00:07 接受我
00:00:07-00:00:07 好
00:00:07-00:00:08 接受一下
00:00:08-00:00:08 好
00:00:08-00:00:13 我是華晶隊的朱飛飛
00:00:13-00:00:16 那今天就是受了一個
00:00:16-00:00:18 緣分的邀請
00:00:18-00:00:22 我正在開了一個JF客機
00:00:22-00:00:24 所以我教到我們和Volk8D
00:00:24-00:00:28 那是一些使用
00:00:28-00:00:32 因為現在AI是這樣的一個大時代
00:00:32-00:00:34 男生都要學AI
00:00:34-00:00:37 所以其實我們一直都有在學習
00:00:37-00:00:39 但是因為可能離AI的距離
00:00:39-00:00:41 就是有點遠
00:00:41-00:00:43 所以就學的技術都比較慢
00:00:43-00:00:46 所以但是今天這兩天
00:00:46-00:00:50 我們來這裡聽宏爺
00:00:50-00:00:54 還有剛才的一位老師
00:00:54-00:00:58 一邊講的很細
00:00:58-00:00:59 然後對對
00:00:59-00:01:00 我們的工作很大
00:01:00-00:01:01 特別就是
00:01:01-00:01:03 昨天我們也講到一些具體的操作
00:01:03-00:01:04 一邊講
00:01:04-00:01:06 然後一邊讓我們做一些實操
00:01:06-00:01:09 覺得說話很大
00:01:09-00:01:10 對
00:01:10-00:01:11 好
00:01:11-00:01:12 OK
00:01:12-00:01:13 那我就繼續提問
00:01:13-00:01:16 現在有大量的網上的一些AI課程
00:01:16-00:01:20 那你其實學習的時候也可以上AI課的提問
00:01:20-00:01:22 那你覺得為甚麼我們要去參加一些
00:01:22-00:01:23 現下的課程
00:01:23-00:01:24 然後的課程呢
00:01:24-00:01:27 就是實際上
00:01:27-00:01:30 剛才我們今天聽了課以後
00:01:30-00:01:32 可能老師反復的告訴我們說
00:01:32-00:01:35 有甚麼不會的實在你就問AI就好了
00:01:35-00:01:37 AI都會交給你
00:01:37-00:01:40 但是有時候其實可能也是一個亂性
00:01:40-00:01:42 我們從小說的教育一直就是
00:01:42-00:01:44 老師教我們要這樣這樣這樣
00:01:44-00:01:47 思維還沒有那麼快的轉變過來說
00:01:47-00:01:48 我有甚麼不會
00:01:48-00:01:49 實際上我就問了
00:01:49-00:01:51 AI是最好的老師
00:01:51-00:01:52 所以還有一個慣性
00:01:52-00:01:53 但是我覺得這個
00:01:53-00:01:54 這個習慣
00:01:54-00:01:57 這個跟這個AI時代的發展
00:01:57-00:01:59 它應該慢慢慢慢真的會轉變
00:01:59-00:02:01 就是說實際上人人都可以
00:02:01-00:02:04 把AI就是自己的老師
00:02:04-00:02:06 所以還需要一個過程
00:02:06-00:02:09 所以我們現在需要到線下來試試
00:02:09-00:02:10 好
00:02:10-00:02:11 OK
00:02:11-00:02:12 那基本上OK
00:02:12-00:02:14 我們的這一次採訪
00:02:14-00:02:14 好
00:02:14-00:02:17 然後就可以先把BiPhone摘下來
00:02:17-00:02:18 我在裡面
00:02:18-00:02:18 在這裡
