00:00:00-00:00:01 在FDE也沒有出來之前
00:00:01-00:00:03 我們都很希望
00:00:03-00:00:03 就是
00:00:03-00:00:04 企業內部
00:00:04-00:00:06 就是從企業的關口
00:00:06-00:00:07 我們按一個按鈕
00:00:07-00:00:08 就能完成任務
00:00:08-00:00:09 像我剛才那個樣子
00:00:09-00:00:09 對不對
00:00:09-00:00:10 我說了一句話
00:00:10-00:00:12 他就跟我做完一件甚麼事情
00:00:12-00:00:13 我乾嘛乾嘛
00:00:13-00:00:14 但實際上
00:00:14-00:00:16 這個是在今年之後
00:00:16-00:00:17 他才能實現的東西
00:00:17-00:00:19 前兩年你根本想不得想
00:00:19-00:00:20 前兩年的時候
00:00:20-00:00:21 大多數的自動化
00:00:21-00:00:23 他其實講的是這件事情
00:00:23-00:00:24 最開始的時候
00:00:24-00:00:26 講的就是我們所說的提示詞
00:00:26-00:00:28 就是你寫了一個好的提示詞
00:00:28-00:00:29 模板
00:00:29-00:00:30 然後每一次的時候
00:00:30-00:00:31 把這個提示詞模板
00:00:31-00:00:32 為了AI
00:00:32-00:00:35 他幫你跑一份甚麼樣的東西出來
00:00:35-00:00:38 這是我們當時AI剛出來的時候
00:00:38-00:00:40 第一個所謂的自動化
00:00:40-00:00:41 第二個自動化
00:00:41-00:00:43 是我們所說的工作流的搭建
00:00:43-00:00:44 我們知道大家有沒有聽過
00:00:44-00:00:46 扣子這個平台
00:00:46-00:00:46 有嗎
00:00:46-00:00:48 很多人點頭
00:00:48-00:00:49 你們有用過扣子嗎
00:00:49-00:00:49 有
00:00:49-00:00:50 有
00:00:50-00:00:51 現在還在用嗎
00:00:51-00:00:51 好
00:00:51-00:00:52 搖火了
00:00:52-00:00:52 對
00:00:52-00:00:54 它是時代的一個眼淚
00:00:54-00:00:57 它是自己花了很多的錢
00:00:57-00:00:58 構建的一個
00:00:58-00:01:00 這個我們說叫工作流的平台
00:01:00-00:01:01 但到現在來說
00:01:01-00:01:02 它已經就是
00:01:02-00:01:04 因為發現這個行業真的變得很快
00:01:04-00:01:06 無論是大廠出的產品也算沒有
00:01:06-00:01:07 花很多的時間
00:01:07-00:01:07 學搭建
00:01:07-00:01:09 但實際上沒甚麼用的地方
00:01:09-00:01:10 那個時候
00:01:10-00:01:11 其實第二個階段
00:01:11-00:01:11 其實就是工作流
00:01:11-00:01:13 這一直持續到去年的上半年
00:01:13-00:01:15 可如果扣還沒有開始流行的時候
00:01:15-00:01:17 那大家還是會說
00:01:17-00:01:18 扣子很好用
00:01:18-00:01:19 扣子很愛
00:01:19-00:01:21 該實際上它的搭建也好
